zip,city,state,country,timezone,latitude,longitude
01202,Pittsfield,MA,"United States",America/New_York,42.3929,-73.228483
01203,Pittsfield,MA,"United States",America/New_York,42.3929,-73.228483
01220,Adams,MA,"United States",America/New_York,42.619727,-73.11842
01222,"Ashley Falls",MA,"United States",America/New_York,42.057496,-73.32177
01223,Becket,MA,"United States",America/New_York,42.314449,-73.09335
01224,Berkshire,MA,"United States",America/New_York,42.3929,-73.228483
01225,Cheshire,MA,"United States",America/New_York,42.551731,-73.1653
01226,Dalton,MA,"United States",America/New_York,42.476575,-73.11547
01227,Dalton,MA,"United States",America/New_York,42.516145,-73.092852
01229,Glendale,MA,"United States",America/New_York,42.279292,-73.343545
01230,"Great Barrington",MA,"United States",America/New_York,42.189715,-73.35249
01235,Hinsdale,MA,"United States",America/New_York,42.433661,-73.09278
01236,Housatonic,MA,"United States",America/New_York,42.266874,-73.36236
01237,Lanesborough,MA,"United States",America/New_York,42.557346,-73.24364
01238,Lee,MA,"United States",America/New_York,42.299263,-73.2327
01240,Lenox,MA,"United States",America/New_York,42.36237,-73.27683
01242,"Lenox Dale",MA,"United States",America/New_York,42.336557,-73.24599
01243,Middlefield,MA,"United States",America/New_York,42.356088,-73.010448
01244,"Mill River",MA,"United States",America/New_York,42.139104,-73.20312
01245,Monterey,MA,"United States",America/New_York,42.180659,-73.20849
01247,"North Adams",MA,"United States",America/New_York,42.696064,-73.10145
01252,"North Egremont",MA,"United States",America/New_York,42.198648,-73.446234
01253,Otis,MA,"United States",America/New_York,42.198403,-73.10205
01254,Richmond,MA,"United States",America/New_York,42.374711,-73.36336
01255,Sandisfield,MA,"United States",America/New_York,42.088973,-73.12444
01256,Savoy,MA,"United States",America/New_York,42.592506,-73.01123
01257,Sheffield,MA,"United States",America/New_York,42.102694,-73.36591
01258,"South Egremont",MA,"United States",America/New_York,42.103122,-73.45734
01259,Southfield,MA,"United States",America/New_York,42.0645,-73.24674
01260,"South Lee",MA,"United States",America/New_York,42.286586,-73.313274
01262,Stockbridge,MA,"United States",America/New_York,42.283216,-73.31423
01263,Stockbridge,MA,"United States",America/New_York,42.3929,-73.228483
01264,Tyringham,MA,"United States",America/New_York,42.224905,-73.20394
